Unnamed: 0,id,is_robot,nickname,consent,status,pollution_id,num_jugador,partida_id,num_seleccions,bots,acabat,endowment_initial,endowment_current,contributed_public_goods,winnings_public_goods,savings_public_goods,coins_total,tickets,gender,age_range,educational_level,economic_status,working_status,residence,frame_pr1,frame_pr2,frame_pr3,verification_pr1,verification_pr2,verification_pr3,verification_pr4,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,date_tutorial,date_register,date_creation,date_end,comment,contributions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,no2_level,control_wealth
20,1022,0,Participant0107,1,END,10.0,6.0,1004.0,10,0,1,48,20,28,20,20,20.0,2,M,r1,r3,r1,r2,r10,r2,r2,r1,r2,r2,r1,,r4,r4,r1,r3,r3,r4,r1,r2,r4,r3,Doncs que tots els serveis publics del tmb siguin electrics ,2018-04-23 10:01:57.204937,2018-04-23 10:05:33.332530,2018-04-23 10:00:20.613375,2018-04-23 10:14:24.114106,,[2 4 2 4 0 4 4 2 4 2],2.0,4.0,2.0,4.0,0.0,4.0,4.0,2.0,4.0,2.0,39.05,UNEQUAL-L
21,1023,0,0113,1,END,6.0,2.0,1004.0,10,0,1,24,14,10,14,14,14.0,1,F,r1,r3,r1,r2,r6,r2,r2,r1,r2,r2,r1,,r1,r4,r2,r4,r3,r2,r2,r2,r3,r1,"intentar tractar millor a la natura
",2018-04-23 10:01:36.023324,2018-04-23 10:04:15.453781,2018-04-23 10:00:28.983265,2018-04-23 10:12:46.280225,,[2 0 0 2 2 0 0 2 2 0],2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,43.8,UNEQUAL-L
22,1024,0,0115,1,END,6.0,3.0,1004.0,10,0,1,48,22,26,22,22,22.0,2,F,r1,r3,r3,r2,r6,r1,r2,r1,r2,r2,r1,,r3,r4,r1,r5,r1,r4,r3,r2,r2,r1,Reciclar i baixar la contaminació.,2018-04-23 10:02:42.068661,2018-04-23 10:05:25.092711,2018-04-23 10:00:52.782243,2018-04-23 10:13:08.003222,,[2 4 2 2 2 4 2 2 4 2],2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,43.8,UNEQUAL-L
23,1025,0,Participant 0117,1,END,6.0,4.0,1004.0,10,0,1,48,18,30,18,18,18.0,2,F,r1,r3,r2,r2,r6,r2,r2,r1,r2,r2,r1,,r4,r5,r1,r3,r2,r3,r3,r3,r3,r2,Informar mes del asumpte. I intentar que mes gent colabori.,2018-04-23 10:02:11.391268,2018-04-23 10:04:47.202704,2018-04-23 10:01:04.021007,2018-04-23 10:12:19.892926,,[2 2 0 4 4 2 4 4 4 4],2.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,43.8,UNEQUAL-L
24,1026,0,PARTICIPANT0109,1,END,11.0,2.0,1005.0,10,0,1,24,4,20,4,4,4.0,1,F,r2,r4,r2,r4,r11,r2,r3,r1,r2,r2,r1,,r3,r4,r1,r5,r1,r4,r3,r4,r3,r5,"Fer gratis el transport públic com a Alemanya.
",2018-04-23 10:16:43.297683,2018-04-23 10:20:56.440760,2018-04-23 10:15:55.657482,2018-04-23 10:32:04.935935,,[4 2 2 2 4 2 2 2 0 0],4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,46.23,UNEQUAL-L
25,1028,0,0197,1,END,4.0,4.0,1005.0,10,0,1,48,24,24,24,24,24.0,2,M,r2,r4,r2,r4,r4,r1,r3,r1,r2,r2,r1,,r4,r5,r1,r4,r3,r1,r1,r3,r4,r4,"Reduïr el tràfic a motor
",2018-04-23 10:19:10.774957,2018-04-23 10:22:33.399776,2018-04-23 10:16:24.951431,2018-04-23 10:32:16.486292,,[4 4 2 2 2 2 2 4 2 0],4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,44.6,UNEQUAL-L
26,1031,0,0261,1,END,4.0,5.0,1005.0,10,0,1,48,16,32,16,16,16.0,2,M,r5,r4,r3,r3,r4,r2,r3,r1,r2,r2,r1,,r2,r5,r1,r4,r2,r4,r3,r3,r3,r4,Reduir drasticament el cotxe a la ciutat,2018-04-23 10:21:15.896444,2018-04-23 10:25:45.578869,2018-04-23 10:20:09.701390,2018-04-23 10:32:57.693439,,[4 4 4 4 4 2 4 4 2 0],4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,0.0,44.6,UNEQUAL-L
27,1032,0,0105,1,END,3.0,1.0,1005.0,10,0,1,24,4,20,4,4,4.0,1,M,r3,r4,r2,r1,r3,r2,r2,r2,r2,r2,r1,,r3,r4,r1,r4,r3,r1,r2,r2,r3,r1,No,2018-04-23 10:21:56.002665,2018-04-23 10:24:19.034055,2018-04-23 10:20:54.519465,2018-04-23 10:30:47.346818,,[2 0 4 2 0 2 4 2 4 0],2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,4.0,0.0,46.89,UNEQUAL-L
28,1033,0,0037,1,END,11.0,3.0,1005.0,10,0,1,48,14,34,14,14,14.0,1,F,r3,r4,r2,r4,r11,r1,r3,r1,r2,r2,r1,,r2,r5,r1,r4,r3,r5,r1,r3,r3,r3,Reduir els cotxes,2018-04-23 10:23:17.604524,2018-04-23 10:26:07.688113,2018-04-23 10:22:24.726837,2018-04-23 10:31:44.627990,,[2 4 2 4 4 2 4 4 4 4],2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,46.23,UNEQUAL-L
29,1034,0,0269,1,END,4.0,6.0,1005.0,10,0,1,48,46,2,46,46,46.0,4,M,r3,r4,r2,r4,r4,r1,r2,r1,r2,r2,r1,,r2,r1,r1,r5,r1,r1,r3,r3,r4,r1,"no
",2018-04-23 10:25:27.599594,2018-04-23 10:25:47.422966,2018-04-23 10:25:00.410726,2018-04-23 10:30:57.074861,,[2 0 0 0 0 0 0 0 0 0],2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,UNEQUAL-L
